A15
Karena pasar bersih
Karena nyaman dan bersih 
Barang lengkap
Pasarnya lengkap dan sayurnya lengkap
Gudeg dan bakmi vera enak untuk dimakan pagi pagi
Nyaman, bersih 
Lengkap, banyak tukang makanan
Karena fresh sayurannya 
Pasarnya bersih, banyak tukang jualan sayurnya, dan fresh untuk daging ayam nya
Sayur fresh dan murah dibandingin pasar lainnya, bersih dan banyak makanan
Harga murah untuk keperluan dagang dibanding pasar lain
Makanan dan jajanannya lengkap buat pagi hari
Sudah terbiasa 
Karena nyaman ada teras sinpansa untuk duduk santai sehabis belanja sayur
Pasar bersih dan banyak pilihan makanannya
Lengkap
Pasarnya bersih dan nyaman
Bisa makan setelah belanja dan harganya terjangkau
Pasar lengkap 
Banyak tempat makan dan tempat nongkrong
Harganya terjangkau
Pasar lengkap
Pasarnya bersih dan lengkap
Lengkap
Karena barang-barangnya fresh
Karena dekat dengan area joging, jadi abis joging bareng ibu-ibu lainnya bisa langsung otw pasar
Pilihan makanan beragam
Karena bersih dan nyaman 
Lengkap dan dekat rumah
Dekat dengan rumah 
Pasarnya bersih dan nyaman
Harganya murah
Harus ada yg perlu di tambah tenant nya seperti untuk makanan sang sang
Tempat duduk di pasar banyak jadi bisa santai nunggu istri belanja
Bersih, nyaman
Lengkap
Harga relatif murah, kualitas barangnya bagus, dan bersih
Lengkap, bersih,terjangkau, danpembayaran mudah
Harga sayur dan ayamnya lebih murah dibandingin pasar disekitar
Bersih dan nyaman, parkir mudah
Pasarnya bersih dan lengkap
Lengkap barangnya
Banyak makanan enak dan bisa sambil duduk nunggu orang tua belanja
Banyak makanan dan jajanan saat malam 
Kualitas sayur atau dagingnya bagus dan untuk harga relatif mahal dengan pasar kelapa dua
Harga terjangkau 
Pasar lengkap
Pasarnya lengkap
Murah dan dekat untuk yang tinggal di Kelapa Dua
Jarak nya Deket 
Harga sayur dan daging murah
Dekat rumah
Toiletnya diubah ke toilet duduk
Karena bahan makanan lengkap di jual
